image-item src	image-item src 2	producttag-text	link	value
https://manyavar.scene7.com/is/image/manyavar/SOSK823-302-Cream-404_02-12-2025-14-44:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK823-302-Cream-405_02-12-2025-14-45:283x395		Cream Kurta Pancha Set	$ 305
https://manyavar.scene7.com/is/image/manyavar/SOSK819-302-Cream-406_01-12-2025-09-21:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK819-302-Cream-407_01-12-2025-14-52:283x395		Radiant Cream Veshti Dhoti	$ 305
https://manyavar.scene7.com/is/image/manyavar/SOSK820-302-Cream-404_02-12-2025-15-01:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK820-302-Cream-405_02-12-2025-15-01:283x395		Regal Cream Silk Veshti Dhoti	$ 805
https://manyavar.scene7.com/is/image/manyavar/SOSK785-303-Beige-101_20-01-2021-21-43:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK785-303-Beige-301_20-01-2021-15-13:283x395		Beige Silk Splendor Kurta Pancha Ensemble	$ 555
https://manyavar.scene7.com/is/image/manyavar/SKS0585_303-Beige_101.4652_21-03-2025-12-21	https://manyavar.scene7.com/is/image/manyavar/SKS0585_303-Beige_301.4658_21-03-2025-12-22		Beige Silk Resham Embroidered Kurta Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/SIW0183D_341-Light+Blue_101.6403_21-03-2025-18-33	https://manyavar.scene7.com/is/image/manyavar/SIW0183D_341-Light+Blue_301.6405_21-03-2025-18-33		Light Blue Silk Sequin Embroidered Indo Western Set with Dupatta	$ 1,135
https://manyavar.scene7.com/is/image/manyavar/SIW0179_302-Cream_101.5690_21-03-2025-16-33	https://manyavar.scene7.com/is/image/manyavar/SIW0179_302-Cream_301.5693_21-03-2025-16-34		Cream Pashmina Silk Multicolour Woven Indo Western Set	$ 1,135
https://manyavar.scene7.com/is/image/manyavar/SOSK784_301-White_101.30495_05-03-2025-21-08:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK784_301-White_301.30498_05-03-2025-21-08:283x395		Classy White Kurta Pancha Set With Dupatta	$ 175
https://manyavar.scene7.com/is/image/manyavar/SIW0226_302-Cream_101.6286_21-03-2025-18-11	https://manyavar.scene7.com/is/image/manyavar/SIW0226_302-Cream_301.6288_21-03-2025-18-11		Ivory Georgette Self-Textured Thread Embroidered Indo Western Set	$ 1,135
https://manyavar.scene7.com/is/image/manyavar/IDES1017-322-Wine.91_05-12-2024-10-35:283x395	https://manyavar.scene7.com/is/image/manyavar/IDES1017-322-Wine.9_05-12-2024-10-35:283x395		Wine Red Medallion Jaal Patterned Indo Western Set	$ 355
